STATISTIC	pval	fdr
SRR8615542	0.469795802609189	5.88989433669695e-07	0.000345147808130442
SRR8615543	0.399744753261486	3.73720773572117e-05	0.0175275042805323
SRR8615544	0.626488939307998	4.86399809318527e-12	3.97875044022555e-09
SRR8615546	0.581537152580828	1.96726079870757e-10	1.48724916382292e-07
SRR8615547	-0.395490640952921	4.70601628451695e-05	0.0217888553973135
SRR8615549	0.371100397050482	0.000168237258371562	0.0709961230327991
SRR8615550	0.414917753828701	1.60982786494568e-05	0.00801694276742948
SRR8615551	-0.197249007373795	0.120927978991135	1
SRR8615552	-0.0927396483267158	0.899176607576875	1
SRR8615554	-0.353516732841747	0.000400821249006977	0.159927678353784
SRR8615557	0.255246738513897	0.0236137011399723	1
SRR8615558	-0.252127056154282	0.0263027643354482	1
SRR8615559	0.582671582529779	1.79796399990551e-10	1.36465467592828e-07
SRR8615560	0.260493477027794	0.0196378121938151	1
SRR8615562	0.453062960862167	1.68674581702e-06	0.000931083690995038
SRR8615563	-0.388542257515598	3.93174438397814e-05	0.0184005637170177
SRR8615565	-0.360748723766307	0.00018015227457302	0.0756639553206684
SRR8615566	0.733976176971072	2.22044604925031e-16	2.22266649529956e-13
SRR8615567	0.687464549064095	2.07611705604904e-14	1.88096205278043e-11
SRR8615569	0.444271128757799	2.88733688702525e-06	0.00155627458210661
SRR8615571	0.147759500850822	0.400745697871543	1
SRR8615572	0.146199659671015	0.413779275169497	1
SRR8615573	-0.48425978445831	8.12009205430897e-08	5.12377808626896e-05
SRR8615574	-0.165626772546795	0.271332080564788	1
SRR8615575	-0.327566647759501	0.000931785874030311	0.346624345139276
SRR8615576	-0.550198525241066	4.30572910659066e-10	3.18623953887709e-07
SRR8615577	-0.615428247305729	1.03439479204326e-12	8.82338757612899e-10
SRR8615579	-0.549064095292116	4.78100004031035e-10	3.52359702970872e-07
SRR8615580	0.638684061259217	1.69997349530604e-12	1.43137768304769e-09
SRR8615582	-0.533040272263188	1.81740489324511e-09	1.29580968888376e-06
SRR8615584	0.554027226318775	3.13682635422197e-10	2.34320928660381e-07
SRR8615585	0.232274532047646	0.050647469895907	1
SRR8615586	0.169313669880885	0.248415717343476	1
SRR8615587	0.673000567214974	2.55351295663786e-15	2.3875346144564e-12
SRR8615588	0.448808848553602	2.19068271944955e-06	0.00119173139938056
SRR8615589	-0.512478729438457	9.6408314664842e-09	6.60396955454168e-06
SRR8615590	-0.660380034032898	9.43689570931383e-15	8.64419646973147e-12
SRR8615591	0.622660238230289	5.01931829433033e-13	4.33669100630141e-10
SRR8615593	-0.582955190017016	2.26176855022686e-11	1.79204174832748e-08
SRR8615594	0.233408961996597	0.040219813460717	1
SRR8615596	-0.281905842314237	0.00684310724686177	1
SRR8615597	0.303176403857062	0.0038121220916606	1
SRR8615598	-0.30700510493477	0.00237948633813057	0.832820218345698
SRR8615599	-0.331395348837209	0.000779133366819229	0.296849812758126
SRR8615600	0.358905275099263	0.000198861971610231	0.082527718218246
SRR8615601	-0.101673284174702	0.831135765372633	1
SRR8615602	0.18930799773114	0.173893811819579	1
SRR8615604	-0.18321043675553	0.176083978412341	1
SRR8615606	-0.425127623369257	4.40707936322227e-06	0.00231371666569169
SRR8615607	-0.187748156551333	0.180988636222462	1
SRR8615612	0.145774248440159	0.464033063941263	1
SRR8615615	-0.471639251276234	1.96624481363372e-07	0.000120334182594384
SRR8615616	-0.127906976744186	0.632959223734715	1
SRR8615618	0.532331253545094	1.95525451385237e-09	1.39214121386289e-06
SRR8615619	-0.677538287010777	1.99840144432528e-15	1.87649895622144e-12
SRR8615620	0.715683494044243	6.66133814775094e-16	6.60804744256893e-13
SRR8615621	0.185479296653432	0.191711334559856	1
SRR8615625	-0.125212705615428	0.607101864672974	1
SRR8615627	0.498014747589336	2.94325319671884e-08	1.93371735024428e-05
SRR8615628	0.336783891094725	0.000880530856638417	0.331079602096045
SRR8615629	0.40045377197958	3.59549547223059e-05	0.0169347836742061
SRR8615630	0.335649461145774	0.000927507143713591	0.345960164605169
SRR8615631	0.204622802041974	0.0977097088494366	1
SRR8615633	0.152722631877482	0.361451190360144	1
SRR8615634	-0.250283607487238	0.0225813840821565	1
SRR8615635	0.205190017016449	0.113525132072849	1
SRR8615636	-0.539137833238797	1.0941114680918e-09	7.89948479962277e-07
SRR8615639	0.457600680657969	5.384936319075e-07	0.00031663425556161
SRR8615640	-0.438882586500284	1.84799605484898e-06	0.00101270183805724
SRR8615641	0.148893930799773	0.391365960602003	1
SRR8615642	0.522404991491775	1.680747541144e-08	1.13282384273106e-05
SRR8615644	0.491917186613727	1.3822320765744e-07	8.54546251050081e-05
SRR8615645	0.619965967101532	8.46422931743973e-12	6.83063305917386e-09
SRR8615646	0.576148610323313	4.41962022534881e-11	3.44288415554672e-08
SRR8615647	0.605501985252411	2.76823008960037e-12	2.3031674345475e-09
SRR8615648	0.678672716959728	4.69624339416441e-14	4.20313783777715e-11
SRR8615649	0.674134997163925	7.1276318180935e-14	6.35071994992131e-11
SRR8615650	0.603233125354509	3.4138025739594e-11	2.67300741541021e-08
SRR8615651	-0.458309699376064	5.00792967650376e-07	0.000294967057946072
SRR8615652	0.698525241066364	7.32747196252603e-15	6.74860167748648e-12
SRR8615654	0.674134997163925	7.1276318180935e-14	6.35071994992131e-11
SRR8615655	0.481281905842314	2.79803216929331e-07	0.000169001143025316
